TimeUTC,RelativeTimeMins,SatelliteID,VisibleCountries,CachedMovies
2025-09-01 00:01:00,1.01,46794,MR|MA,
2025-09-01 00:01:00,1.01,47122,NR,
2025-09-01 00:01:00,1.01,47126,NA|ZA,
2025-09-01 00:01:00,1.01,47133,AU,
2025-09-01 00:01:00,1.01,47143,PG|SB,
2025-09-01 00:01:00,1.01,47157,CV,
2025-09-01 00:01:00,1.01,47352,DK|DE|NL|FR|BE|LU|GB|IM|JE,
2025-09-01 00:01:00,1.01,47355,CY|TR|GR|LY|EG,
2025-09-01 00:01:00,1.01,47359,ES|DZ,
2025-09-01 00:01:00,1.01,47361,IR|OM|AE|QA|BH|SA,
2025-09-01 00:01:00,1.01,47366,RU|UA|BY,
2025-09-01 00:01:00,1.01,47368,CO|EC|PE|BR,
2025-09-01 00:01:00,1.01,47374,AU,
2025-09-01 00:01:00,1.01,47375,MM|TH|IN,
2025-09-01 00:01:00,1.01,47376,IN|CN|NP,
2025-09-01 00:01:00,1.01,47377,AU,
2025-09-01 00:01:00,1.01,47380,CA|PM,
2025-09-01 00:01:00,1.01,47382,PL|DE|SK|CZ|HU|AT|NL|FR|BE|LU|SI|HR|IT|CH|LI,
2025-09-01 00:01:00,1.01,47386,US,
2025-09-01 00:01:00,1.01,47389,IN,
2025-09-01 00:01:00,1.01,47390,MY|ID|SG,
2025-09-01 00:01:00,1.01,47391,AZ|AM|IR|GE|TR|IQ|SY,
2025-09-01 00:01:00,1.01,47392,GE|AM|TR|SY|RU,
2025-09-01 00:01:00,1.01,47397,BL|AI|SX|MF|NL|AG|KN|MS|GP|DM|LC|MQ|VC|BB|GD,
2025-09-01 00:01:00,1.01,47399,CL,
2025-09-01 00:01:00,1.01,47408,MX|BZ|GT|HN|CU|KY,
2025-09-01 00:01:00,1.01,47555,CA|US,
2025-09-01 00:01:00,1.01,47565,NZ,
2025-09-01 00:01:00,1.01,47566,DZ,
2025-09-01 00:01:00,1.01,47572,CA|PM,
2025-09-01 00:01:00,1.01,47577,TR|GR|BG|RS|XK|MK|AL|ME|IT,
2025-09-01 00:01:00,1.01,47582,CA,
2025-09-01 00:01:00,1.01,47587,US|CA,
2025-09-01 00:01:00,1.01,47588,BE|FR|GB|IM|IE|JE,
2025-09-01 00:01:00,1.01,47604,DE|AT|FR|BE|LU|SI|IT|SM|CH|LI|MC|AD,
2025-09-01 00:01:00,1.01,47606,MU,
2025-09-01 00:01:00,1.01,47621,VN|KH|LA,
2025-09-01 00:01:00,1.01,47622,TL|ID,
2025-09-01 00:01:00,1.01,47623,HR|IT|SI|SM|VA|TN|FR|MC,
2025-09-01 00:01:00,1.01,47625,CN|MM|VN|LA|TH,
2025-09-01 00:01:00,1.01,47627,TD|CF|CM|NG,
2025-09-01 00:01:00,1.01,47630,EC|PE,
2025-09-01 00:01:00,1.01,47648,NZ,
2025-09-01 00:01:00,1.01,47649,AU,
2025-09-01 00:01:00,1.01,47652,BR|CO|PE|BO,
2025-09-01 00:01:00,1.01,47655,VE|GY|SR|BR,
2025-09-01 00:01:00,1.01,47657,NZ,
2025-09-01 00:01:00,1.01,47667,PT,
2025-09-01 00:01:00,1.01,47722,RU|CN,
2025-09-01 00:01:00,1.01,47723,LY|EG,
2025-09-01 00:01:00,1.01,47724,WF|WS|AS,
2025-09-01 00:01:00,1.01,47728,CL|AR,
2025-09-01 00:01:00,1.01,47731,RU,
2025-09-01 00:01:00,1.01,47733,US|MX,
2025-09-01 00:01:00,1.01,47734,CN|MM,
2025-09-01 00:01:00,1.01,47746,CN|KP,
2025-09-01 00:01:00,1.01,47747,CN|RU,
2025-09-01 00:01:00,1.01,47749,BT|IN|BD|NP,
2025-09-01 00:01:00,1.01,47760,LA|TH|MM|KH,
2025-09-01 00:01:00,1.01,47762,RU,
2025-09-01 00:01:00,1.01,47770,MG,
2025-09-01 00:01:00,1.01,47788,PE,
2025-09-01 00:01:00,1.01,47790,KP|JP|RU|CN,
2025-09-01 00:01:00,1.01,47793,GT|MX|SV|HN|NI,
2025-09-01 00:01:00,1.01,47796,US,
2025-09-01 00:01:00,1.01,47804,EC|PE,
2025-09-01 00:01:00,1.01,47805,TH|MY|ID|SG,
2025-09-01 00:01:00,1.01,47806,CX,
2025-09-01 00:01:00,1.01,47807,CN,
2025-09-01 00:01:00,1.01,47815,JM|CO|PA,
2025-09-01 00:01:00,1.01,47816,US|CA,
2025-09-01 00:01:00,1.01,47817,PH,
2025-09-01 00:01:00,1.01,47818,ID,
2025-09-01 00:01:00,1.01,47819,PH|MY|ID|BN,
2025-09-01 00:01:00,1.01,47822,DM|LC|MQ|VC|BB|GD|VE|TT|GY,
2025-09-01 00:01:00,1.01,47824,US,
2025-09-01 00:01:00,1.01,47827,MX|BZ,
2025-09-01 00:01:00,1.01,47828,US|BS,
2025-09-01 00:01:00,1.01,47831,JP|RU,
2025-09-01 00:01:00,1.01,47833,CU|KY|JM|HT,
2025-09-01 00:01:00,1.01,47836,ID,
2025-09-01 00:01:00,1.01,47839,RU,
2025-09-01 00:01:00,1.01,47840,CN|HK|MO,
2025-09-01 00:01:00,1.01,47841,JP|KP|KR,
2025-09-01 00:01:00,1.01,47845,VE|CO|BR,
2025-09-01 00:01:00,1.01,47862,GF|BR,
2025-09-01 00:01:00,1.01,47870,US|CA,
2025-09-01 00:01:00,1.01,47879,AU,
2025-09-01 00:01:00,1.01,47884,ID|PG,
2025-09-01 00:01:00,1.01,47910,SH,
2025-09-01 00:01:00,1.01,47916,ID,
2025-09-01 00:01:00,1.01,47919,FM,
2025-09-01 00:01:00,1.01,47978,MG|MZ,
2025-09-01 00:01:00,1.01,47993,CA|US,
2025-09-01 00:01:00,1.01,48010,TO,
2025-09-01 00:01:00,1.01,48018,US,
2025-09-01 00:01:00,1.01,48019,ML|MR|GN|LR|CI|SL|SN|GM|GW,
2025-09-01 00:01:00,1.01,48022,CA|US,
2025-09-01 00:01:00,1.01,48023,MA|PT|ES,
2025-09-01 00:01:00,1.01,48093,CD|AO|ZM,
2025-09-01 00:01:00,1.01,48094,AR|CL,
2025-09-01 00:01:00,1.01,48096,KE|TZ|UG|RW|BI,
2025-09-01 00:01:00,1.01,48097,CN|RU,
2025-09-01 00:01:00,1.01,48102,KZ,
2025-09-01 00:01:00,1.01,48105,DZ|MA|ES|GI,
2025-09-01 00:01:00,1.01,48107,IR|AZ|AM|IQ,
2025-09-01 00:01:00,1.01,48112,BW|ZA|NA,
2025-09-01 00:01:00,1.01,48115,SD|ET|SS,
2025-09-01 00:01:00,1.01,48116,ZM|ZW|NA|BW|AO,
2025-09-01 00:01:00,1.01,48119,RU|MN,
2025-09-01 00:01:00,1.01,48120,CN|KZ|KG,
2025-09-01 00:01:00,1.01,48121,PN,
2025-09-01 00:01:00,1.01,48125,RU|CN,
2025-09-01 00:01:00,1.01,48126,AO,
2025-09-01 00:01:00,1.01,48127,AF|PK|IR|OM|AE,
2025-09-01 00:01:00,1.01,48128,CN|TW,
2025-09-01 00:01:00,1.01,48129,MN|RU,
2025-09-01 00:01:00,1.01,48131,SD|EG,
2025-09-01 00:01:00,1.01,48133,US,
2025-09-01 00:01:00,1.01,48144,PF,
2025-09-01 00:01:00,1.01,48148,YE|ER|SO|DJ,
2025-09-01 00:01:00,1.01,48151,CL|AR,
2025-09-01 00:01:00,1.01,48277,US|MX,
2025-09-01 00:01:00,1.01,48282,DE|CZ|AT|NL|FR|BE|LU|IT|CH|LI,
2025-09-01 00:01:00,1.01,48283,RU|UA|BY,
2025-09-01 00:01:00,1.01,48284,KZ,
2025-09-01 00:01:00,1.01,48287,PH|MY,
2025-09-01 00:01:00,1.01,48289,AU,
2025-09-01 00:01:00,1.01,48292,ID|AU,
2025-09-01 00:01:00,1.01,48295,CL|PE|BO|AR,
2025-09-01 00:01:00,1.01,48300,KZ|RU,
2025-09-01 00:01:00,1.01,48301,CN|MN|KZ|RU,
2025-09-01 00:01:00,1.01,48303,NZ,
2025-09-01 00:01:00,1.01,48304,PW|ID,
2025-09-01 00:01:00,1.01,48311,CL|AR,
2025-09-01 00:01:00,1.01,48312,BR|BO|PY,
2025-09-01 00:01:00,1.01,48315,PT|ES,
2025-09-01 00:01:00,1.01,48316,FR|ES|AD|PT,
2025-09-01 00:01:00,1.01,48317,BY|RU|UA|LT|MD|RO|PL|SK|HU|CZ,
2025-09-01 00:01:00,1.01,48318,MN|CN,
2025-09-01 00:01:00,1.01,48319,JP|CN|TW,
2025-09-01 00:01:00,1.01,48321,PG,
2025-09-01 00:01:00,1.01,48323,NZ,
2025-09-01 00:01:00,1.01,48327,CL|AR,
2025-09-01 00:01:00,1.01,48328,AR|PY|BR|UY,
2025-09-01 00:01:00,1.01,48329,BR,
2025-09-01 00:01:00,1.01,48331,MR|SN|GM|CV,
2025-09-01 00:01:00,1.01,48332,MR|MA|SN,
2025-09-01 00:01:00,1.01,48333,RS|HU|RO|XK|ME|AL|IT|SK|CZ|AT|DE|BA|HR|SI|SM|VA|CH|LI,
2025-09-01 00:01:00,1.01,48334,RU|KZ|UA,
2025-09-01 00:01:00,1.01,48353,CA|US,
2025-09-01 00:01:00,1.01,48355,GB|IE|FR|ES,
2025-09-01 00:01:00,1.01,48356,IT|VA|MT|LY|TN|DZ,
2025-09-01 00:01:00,1.01,48357,NZ,
2025-09-01 00:01:00,1.01,48358,SO|DJ|ET|KE,
